timestamp_entry_ISO,timestamp_intended_ISO,safe_to_make_observation,floatable_present,scum_present,foam_present,oil_present,operator,source
2025-03-11T14:51:50,2025-03-11T14:51:47,True,True,False,False,True,Clayton Bennett,web-post-Python-FastAPI
2025-03-11T14:52:00,2025-03-11T14:51:47,True,True,False,False,True,Clayton Bennett,web-post-Python-FastAPI
2025-03-12T12:09:34,2025-03-12T12:09:32,True,True,False,False,True,Clayton Bennett,web-post-Python-FastAPI
2025-03-12T12:16:45,2025-03-12T12:16:11,True,True,True,True,True,Clayton Bennett,web-post-Python-FastAPI
2025-03-12T12:17:45,2025-03-12T12:17:37,True,True,True,True,True,Clayton Bennett,web-post-Python-FastAPI
2025-03-12T12:20:04,2025-03-12T12:19:56,True,True,True,True,True,Clayton Bennett,web-post-Python-FastAPI
timestamp_entry_ISO,timestamp_intended_ISO,north_basin_1_MGD,north_basin_3_MGD,north_basin_5_MGD,north_basin_7_MGD,north_basin_9_MGD,north_basin_11_MGD,north_basin_13_MGD,south_basin_1_MGD,south_basin_3_MGD,south_basin_5_MGD,south_basin_7_MGD,south_basin_9_MGD,south_basin_11_MGD,south_basin_13_MGD,north_clarifier_1_MGD,north_clarifier_2_MGD,north_clarifier_3_MGD,north_clarifier_4_MGD,south_clarifier_1_MGD,south_clarifier_2_MGD,south_clarifier_3_MGD,south_clarifier_4_MGD,north_ras_1_MGD,north_ras_2_MGD,north_ras_3_MGD,north_ras_4_MGD,south_ras_1_MGD,south_ras_2_MGD,south_ras_3_MGD,south_ras_4_MGD,operator,source
2025-03-12T19:33:42,2025-03-12T19:33:42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,web-post-Python-FastAPI
timestamp_entry_ISO,timestamp_intended_ISO,north_basin_1_MGD,north_basin_3_MGD,north_basin_5_MGD,north_basin_7_MGD,north_basin_9_MGD,north_basin_11_MGD,north_basin_13_MGD,south_basin_1_MGD,south_basin_3_MGD,south_basin_5_MGD,south_basin_7_MGD,south_basin_9_MGD,south_basin_11_MGD,south_basin_13_MGD,north_clarifier_1_MGD,north_clarifier_2_MGD,north_clarifier_3_MGD,north_clarifier_4_MGD,south_clarifier_1_MGD,south_clarifier_2_MGD,south_clarifier_3_MGD,south_clarifier_4_MGD,north_ras_1_MGD,north_ras_2_MGD,north_ras_3_MGD,north_ras_4_MGD,south_ras_1_MGD,south_ras_2_MGD,south_ras_3_MGD,south_ras_4_MGD,operator,source
2025-03-12T19:37:38,2025-03-12T19:37:38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,web-post-Python-FastAPI
